__status,sys_created_by,sys_created_on,sys_id,sys_mod_count,sys_updated_by,sys_updated_on,u_bldg_code,u_building,u_comments,u_floor,u_name,u_room,u_room_key,u_tr
success,RhondaAdmin,2014-03-24 21:03:53,43120f1389a31100090da23bf5f0e49a,0,RhondaAdmin,2014-03-24 21:03:53,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 02 Rm: 2048),30575bc454cd6c00370f77cd1a50ee5f,CSRBN02A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:09,43220f1389a31100090da23bf5f0e4e2,0,RhondaAdmin,2014-03-24 21:04:09,46b04b1389a31100090da23bf5f0e4e8,8c56db0454cd6c00370f77cd1a50ee92, (MSCNS Floor: 05 Rm: 529),b1579bc454cd6c00370f77cd1a50ee4e,OLIN05A,,OHA 4.6,A
success,RhondaAdmin,2014-03-24 21:04:25,43324f1389a31100090da23bf5f0e42c,53,svc-midsrv,2014-07-02 09:01:06,4ab04b1389a31100090da23bf5f0e4e9,bf57d74454cd6c00370f77cd1a50ee54,PL704/PL19 (MSCNS Floor: PL Rm: PL704),,SLCHPLA,,ABDC1,A
success,RhondaAdmin,2014-03-24 21:04:12,44324f1389a31100090da23bf5f0e402,0,RhondaAdmin,2014-03-24 21:04:12,42b04b1389a31100090da23bf5f0e4e9,0e56df0454cd6c00370f77cd1a50ee2d,changed from key PPM 11/9/12 (MSCNS Floor: 03 Rm: 3004),59575bc454cd6c00370f77cd1a50eec9,REN03A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:03:44,45120f1389a31100090da23bf5f0e487,0,RhondaAdmin,2014-03-24 21:03:44,f1b04b1389a31100090da23bf5f0e4e5,3e56174454cd6c00370f77cd1a50ee59, (MSCNS Floor: 10 Rm: 10155),cd57530854cd6c00370f77cd1a50ee20,CAM10A,,CBCA1,A
success,RhondaAdmin,2014-03-24 21:03:44,45120f1389a31100090da23bf5f0e488,0,RhondaAdmin,2014-03-24 21:03:44,f1b04b1389a31100090da23bf5f0e4e5,3e56174454cd6c00370f77cd1a50ee59,room is CC02-030 (MSCNS Floor: 02 Rm: 030),30575bc454cd6c00370f77cd1a50ee5f,CAM02A,,CBCA1,A
success,RhondaAdmin,2014-03-24 21:04:33,45424f1389a31100090da23bf5f0e449,1,svc-midsrv,2014-06-07 09:01:18,79b04b1389a31100090da23bf5f0e4e7,e7565f0454cd6c00370f77cd1a50eeaf, (MSCNS Floor: 07 Rm: 7009),e8575fc454cd6c00370f77cd1a50ee15,ML07A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:03:48,46120f1389a31100090da23bf5f0e490,1,svc-midsrv,2014-06-07 09:00:14,7ddb6f2351e3110032e3236e4abe2723,9f57df4454cd6c00370f77cd1a50ee90,Located in back of suite 237.  Sleep staff opens TR. (MSCNS Floor: 02 Rm: 237),30575bc454cd6c00370f77cd1a50ee5f,CHASE02A,,staff,A
success,RhondaAdmin,2014-03-24 21:24:17,46c64f5389a31100090da23bf5f0e4e0,1,svc-midsrv,2014-06-07 09:01:13,ec3c636351e3110032e3236e4abe27e7,, (MSCNS Floor: 16 Rm: Unk),3569d30c54cd6c00370f77cd1a50eee1,CP16A,,CBCA,A
success,RhondaAdmin,2014-03-24 21:03:53,47120f1389a31100090da23bf5f0e49a,0,RhondaAdmin,2014-03-24 21:03:53,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 03 Rm: 3048),59575bc454cd6c00370f77cd1a50eec9,CSRBN03A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:09,47220f1389a31100090da23bf5f0e4e2,0,RhondaAdmin,2014-03-24 21:04:09,46b04b1389a31100090da23bf5f0e4e8,8c56db0454cd6c00370f77cd1a50ee92, (MSCNS Floor: 06 Rm: 629),7d579bc454cd6c00370f77cd1a50ee78,OLIN06A,,OHA 4.6,A
success,RhondaAdmin,2014-03-24 21:04:41,47424f1389a31100090da23bf5f0e468,0,RhondaAdmin,2014-03-24 21:04:41,3db04b1389a31100090da23bf5f0e4e7,6e56df0454cd6c00370f77cd1a50ee79, (MSCNS Floor: 2 Rm: 2004),,MSE02A,,PSM9,A
success,RhondaAdmin,2014-03-24 21:04:12,48324f1389a31100090da23bf5f0e402,0,RhondaAdmin,2014-03-24 21:04:12,42b04b1389a31100090da23bf5f0e4e9,0e56df0454cd6c00370f77cd1a50ee2d,changed from key PPM 11/9/12 (MSCNS Floor: 04 Rm: 4004),25579bc454cd6c00370f77cd1a50ee23,REN04A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:03:44,49120f1389a31100090da23bf5f0e486,0,RhondaAdmin,2014-03-24 21:03:44,f1b04b1389a31100090da23bf5f0e4e5,3e56174454cd6c00370f77cd1a50ee59, (MSCNS Floor: 07 Rm: 7183),e8575fc454cd6c00370f77cd1a50ee15,CAM07B,,CBCA1,B
