Date	RX Average	RX Peak	TX Average	TX Peak	RX90	TX90
2013/09/15 19:00 	18577752 	124880896 	6556999 	61539430 	46377675 	17360998
2013/09/16 19:00 	19144875 	145082026 	6574356 	62280122 	47061161 	18195045
2013/09/17 19:00 	17861566 	109407196 	6116727 	70974668 	44190992 	16719462
2013/09/18 19:00 	17063900 	115180884 	5479559 	91716436 	44544614 	12686199
2013/09/19 19:00 	15157776 	117146725 	7539283 	98957311 	38844756 	14678732
2013/09/20 19:00 	3205402 	95992524 	1149498 	14208853 	4028927 	1757387
2013/09/21 19:00 	2474697 	56039628 	1114138 	6566126 	2731212 	1974612
2013/09/22 19:00 	19340928 	96897570 	5974416 	59610794 	44911103 	15525716
2013/09/23 19:00 	19226986 	108760951 	6344022 	81670348 	48541524 	13124914
2013/09/24 19:00 	16114895 	96537121 	5432435 	59158834 	38579301 	11307212
2013/09/25 19:00 	18218202 	151888554 	6453934 	75884680 	52839150 	17088819
2013/09/26 19:00 	15874855 	129897437 	8005125 	85707161 	42653524 	21830382
2013/09/27 19:00 	2255271 	99532936 	1086556 	22287837 	2649838 	1692501
2013/09/28 19:00 	3146443 	98379092 	1118872 	19171600 	2609014 	1926313
2013/09/29 19:00 	18822824 	108571648 	5334983 	56900607 	56300611 	12379408
2013/09/30 19:00 	16210917 	141239329 	10637177 	164129313 	41261294 	24706730
2013/10/01 19:00 	15017966 	111347848 	5558670 	55167145 	36744805 	14476901
2013/10/02 19:00 	17313231 	105189784 	5204089 	56352699 	43983257 	10509174
2013/10/03 19:00 	15769589 	159457825 	4481903 	98162858 	40150868 	10299084
2013/10/04 19:00 	2930980 	99001889 	5384214 	100808567 	4147062 	8103013
2013/10/05 19:00 	2720013 	90256861 	1171836 	39751269 	2878087 	1821559
2013/10/06 19:00 	19657878 	108126309 	6289097 	81384891 	56739327 	15582173
2013/10/07 19:00 	17815961 	119118164 	5997592 	106179002 	45319645 	12014898
2013/10/08 19:00 	18584742 	88412944 	4731439 	51749648 	47908658 	9824937
2013/10/09 19:00 	16333967 	107754495 	7567621 	65416089 	41313552 	17243544
2013/10/10 19:00 	14508068 	124282708 	5148503 	62335112 	35072613 	14337535
2013/10/11 19:00 	2738986 	110719282 	3731823 	89218867 	3547135 	2536277
2013/10/12 19:00 	2905073 	85067536 	1116580 	16405059 	4284722 	1838966
2013/10/13 19:00 	17498518 	104223845 	5260405 	59022676 	51173443 	13419041
2013/10/14 19:00 	18776200 	142902783 	5710393 	85790207 	45955890 	11683635
2013/10/15 19:00 	18081053 	123725891 	5994222 	97085473 	44802115 	16603715
2013/10/16 19:00 	18302617 	162685951 	8459217 	125443275 	50294885 	14238276
2013/10/17 19:00 	16429610 	149887453 	7820512 	99862834 	49113360 	15884697
2013/10/18 19:00 	2414353 	89441006 	1059722 	7935248 	3089681 	1778858
2013/10/19 19:00 	2317519 	125841441 	1840233 	30419660 	2903210 	2158489
2013/10/20 19:00 	14008380 	104060176 	5252559 	66132172 	33259895 	13690402
2013/10/21 19:00 	17183415 	117586601 	5236167 	88716594 	41789200 	11907925
2013/10/22 19:00 	15277707 	109527995 	5473406 	48885418 	36521847 	16081885
2013/10/23 19:00 	15775694 	114946935 	6281570 	94140517 	38128127 	17772578
2013/10/24 19:00 	14598577 	106353219 	4110991 	95821892 	37067672 	9226922
2013/10/25 19:00 	3316084 	67646054 	3812665 	98431760 	6143555 	2576691
2013/10/26 19:00 	2431579 	62452052 	1167893 	13133789 	2632874 	1892522
2013/10/27 19:00 	15026854 	99829247 	6085097 	55952008 	37613703 	14909166
2013/10/28 19:00 	16826256 	120637269 	5537048 	78709520 	44662885 	15501652
2013/10/29 19:00 	13783339 	67512489 	4746895 	59545530 	33748854 	11429956
2013/10/30 19:00 	13101253 	113848285 	8701839 	142082286 	32160665 	13104502
2013/10/31 19:00 	15121865 	104127521 	8139255 	116376780 	33806608 	17680179
2013/11/01 19:00 	3303774 	65693251 	1171578 	11330218 	6035148 	1815721
2013/11/02 19:00 	2340198 	63529847 	1047181 	8573508 	3527849 	1572010
2013/11/03 18:00 	14367446 	87771852 	5403769 	67298234 	34376600 	14155775
2013/11/04 18:00 	18389171 	114723361 	7682060 	88314094 	49565353 	21247999
2013/11/05 18:00 	18420390 	128072567 	7155337 	146194260 	50982024 	18174941
2013/11/06 18:00 	15535968 	109218304 	5602606 	50240408 	40313787 	15251182
2013/11/07 18:00 	17091365 	111086352 	7268365 	86899472 	51957964 	16648772
2013/11/08 18:00 	2318492 	71003784 	1090689 	15961395 	3709951 	1700864
2013/11/09 18:00 	1961360 	85176763 	1005727 	13832464 	2689569 	1659937
2013/11/10 18:00 	15777068 	103267873 	6302208 	65016114 	39506670 	17696221
2013/11/11 18:00 	19173512 	111482606 	6361368 	59975782 	43261474 	17517533
2013/11/12 18:00 	16238988 	119029145 	4705889 	57208524 	39210325 	9733119
2013/11/13 18:00 	14779179 	131931920 	6781062 	76266665 	35424255 	19106200
2013/11/14 18:00 	15745041 	87950096 	7265466 	86733652 	38108125 	18056328
2013/11/15 18:00 	10884493 	98670284 	1385487 	12642747 	58023218 	2776609
2013/11/16 18:00 	2160822 	72945117 	967551 	14747101 	2688579 	1678813
2013/11/17 18:00 	15302357 	96808242 	5632936 	60145629 	37289266 	17195417
2013/11/18 18:00 	18864122 	109123515 	7865931 	113451383 	49934096 	22812022
2013/11/19 18:00 	22572579 	116367735 	6757465 	68756889 	48366352 	16229683
2013/11/20 18:00 	22318015 	127294531 	7726324 	91230139 	57109537 	17043386
2013/11/21 18:00 	16688709 	162413806 	7470134 	96848383 	43807641 	18083669
2013/11/22 18:00 	2639378 	72888319 	1098325 	17743462 	3347216 	1704720
2013/11/23 18:00 	3697699 	74049467 	1171413 	19464533 	6355796 	1847260
2013/11/24 18:00 	15007458 	118021427 	7065349 	59115724 	36559837 	22074230
2013/11/25 18:00 	18374544 	122885495 	6916865 	132828671 	49782373 	17219276
2013/11/26 18:00 	13253199 	105294847 	4276508 	61686578 	36105522 	9048746
2013/11/27 18:00 	2291964 	62330060 	1256781 	56367888 	3277277 	1459438
2013/11/28 18:00 	2670576 	78306611 	3687770 	99756919 	4352989 	2135517
2013/11/29 18:00 	2825666 	79651634 	1155822 	38341392 	3256661 	1719943
2013/11/30 18:00 	1853645 	64594465 	885453 	16794009 	2248294 	1409501
2013/12/01 18:00 	15019477 	118751982 	5309268 	66361958 	39512779 	11713296
2013/12/02 18:00 	17159502 	134736657 	5477686 	71170764 	41247402 	13011762
2013/12/03 18:00 	15952892 	91442106 	5723192 	97609215 	38467891 	13072554
2013/12/04 18:00 	16979881 	120734481 	4641761 	55145778 	46532470 	10011613
2013/12/05 18:00 	18843946 	130502074 	7090652 	102300022 	45685725 	13069448
2013/12/06 18:00 	4077666 	82974003 	1538187 	42864844 	9429674 	2326731
2013/12/07 18:00 	2169059 	67109171 	958112 	16508108 	2711039 	1514086
2013/12/08 18:00 	19800827 	149520417 	7090230 	82764833 	56697104 	19265672
2013/12/09 18:00 	18610496 	111178375 	5049210 	54326339 	48275489 	10723702
2013/12/10 18:00 	18935575 	107949635 	6377894 	61906363 	44115080 	16521249
2013/12/11 18:00 	18277649 	119990203 	6074795 	62360883 	46458163 	16675736
2013/12/12 18:00 	20195350 	112933375 	7395653 	85385318 	43217782 	16892483
2013/12/13 18:00 	2236220 	60194679 	988021 	17617373 	2808933 	1564125
2013/12/14 18:00 	2138016 	41801181 	947016 	24221012 	2773230 	1413358
2013/12/15 18:00 	17469557 	105023795 	5051100 	109309269 	46080511 	9982190
2013/12/16 18:00 	16079616 	92150101 	5869005 	97275050 	39874798 	14442665
2013/12/17 18:00 	14978827 	99601066 	4944618 	53976780 	37354495 	12115114
2013/12/18 18:00 	14802935 	100689953 	4356778 	46376686 	39612995 	9401684
2013/12/19 18:00 	14046730 	88395639 	6411647 	89137561 	37930325 	12290457
2013/12/20 18:00 	2536185 	86705185 	1202270 	76041351 	3032200 	1757934
2013/12/21 18:00 	2074438 	60390399 	925907 	16211523 	3554371 	1395473
2013/12/22 18:00 	12575396 	98218052 	4432253 	62127580 	32966553 	12543658
2013/12/23 18:00 	6619832 	83593351 	1759683 	60263662 	15294941 	3019092
2013/12/24 18:00 	1591822 	44081015 	1142569 	59181602 	1966318 	1443839
2013/12/25 18:00 	11438018 	81330721 	2888211 	56491792 	27805183 	5356952
2013/12/26 18:00 	9936739 	94745463 	5470788 	90111214 	25398749 	7464823
2013/12/27 18:00 	2507584 	63882376 	999763 	16359628 	3319466 	1626076
2013/12/28 18:00 	2181481 	49363694 	886277 	14824448 	3553074 	1332428
2013/12/29 18:00 	13001987 	122727321 	4102308 	55159124 	31045290 	8689834
2013/12/30 18:00 	12739075 	96397823 	4657814 	63591730 	26966800 	12645784
2013/12/31 18:00 	6773568 	38404402 	1818957 	60963907 	13460513 	2364449
2014/01/01 18:00 	12818094 	88136908 	4154300 	53127201 	29135018 	9169919
2014/01/02 18:00 	15105657 	105481932 	6544840 	99338853 	39008392 	12501947
2014/01/03 18:00 	2632912 	81158996 	1548477 	100484675 	2707318 	1432029
2014/01/04 18:00 	1943884 	64063453 	962755 	61181678 	1916689 	1472853
2014/01/05 18:00 	6323941 	92281752 	2349537 	63611050 	16076390 	4213656
2014/01/06 18:00 	13482185 	105315259 	5074693 	67899153 	33660859 	13567180
2014/01/07 18:00 	13062251 	63951427 	5306325 	99981243 	31936136 	12968822
2014/01/08 18:00 	13092060 	108369885 	4577654 	68052957 	33855249 	10390459
2014/01/09 18:00 	15331548 	109841031 	7027383 	99178119 	40151107 	15642930
2014/01/10 18:00 	1874374 	62865066 	881197 	16320955 	2412748 	1296144
2014/01/11 18:00 	2611852 	80409394 	1154854 	30807893 	3038071 	1688711
2014/01/12 18:00 	15901620 	132299570 	5364187 	60438152 	40371165 	14057301
2014/01/13 18:00 	15467013 	98805588 	6134304 	72993791 	40338261 	16872379
2014/01/14 18:00 	20313047 	142834551 	9149706 	111782126 	49391274 	13261482
2014/01/15 18:00 	20505867 	130872455 	6821525 	121767287 	61221204 	17472409
2014/01/16 18:00 	21054094 	119077443 	7053878 	85996133 	86357435 	16838996
2014/01/17 18:00 	2668837 	80622215 	996470 	6267971 	3249288 	1676697
2014/01/18 18:00 	1630304 	61688456 	845267 	5599606 	2061141 	1305701
2014/01/19 18:00 	4649056 	68179694 	1815205 	54636134 	10243958 	2594166
2014/01/20 18:00 	15477049 	126039039 	5491435 	56791961 	39101439 	14829943
2014/01/21 18:00 	14858705 	110529944 	5077723 	55013137 	37141845 	12132146
2014/01/22 18:00 	16884029 	113181763 	5376438 	67111628 	47763694 	13047603
2014/01/23 18:00 	21287026 	154065919 	8673971 	89885627 	54992690 	26883140
2014/01/24 18:00 	6428749 	101379310 	1611552 	20808703 	9406907 	2545595
2014/01/25 18:00 	3973594 	45800311 	1090698 	19164228 	6817791 	1720626
2014/01/26 18:00 	21980733 	119798066 	5989775 	58362094 	53764948 	16580539
2014/01/27 18:00 	25823309 	140904140 	6417566 	80892245 	60008208 	15276441
2014/01/28 18:00 	22003850 	126045012 	6531414 	77900424 	51988445 	17706837
2014/01/29 18:00 	22975425 	160517358 	10415812 	69629030 	56081066 	36673876
2014/01/30 18:00 	34541627 	203562291 	7714184 	94665045 	99571677 	16662117
2014/01/31 18:00 	5300153 	108836556 	1136722 	13989579 	8520806 	1668539
2014/02/01 18:00 	4025282 	47558621 	1003064 	10283929 	7376383 	1480635
2014/02/02 18:00 	28459258 	173048866 	6984839 	104649966 	82070015 	16316484
2014/02/03 18:00 	23534608 	172364219 	6488430 	66564538 	61837550 	17754726
2014/02/04 18:00 	17783403 	106066431 	4300890 	56530500 	42232967 	8555383
2014/02/05 18:00 	20867917 	146190096 	5275707 	58690866 	48026897 	12710536
2014/02/06 18:00 	19649034 	141223594 	7857008 	104708778 	45713578 	15242921
2014/02/07 18:00 	5625554 	50665608 	1410500 	27551641 	9498964 	1846817
2014/02/08 18:00 	4804968 	92333329 	1119892 	6334224 	7966719 	1663862
2014/02/09 18:00 	22471223 	167197012 	6433017 	105453840 	51814876 	14509942
2014/02/10 18:00 	23753840 	119714167 	6476816 	79418436 	54216396 	16015393
2014/02/11 18:00 	30970011 	165046817 	5730668 	66203886 	77784234 	12705688
2014/02/12 18:00 	20947720 	115543004 	6150573 	87541076 	49319014 	15527901
2014/02/13 18:00 	19578230 	116111052 	7457872 	101570525 	47614941 	15733657
2014/02/14 18:00 	4556065 	47314260 	1311663 	19597414 	8298563 	2016528
2014/02/15 18:00 	4429106 	44678996 	1286997 	16341708 	8108543 	2051105
2014/02/16 18:00 	20719685 	118931216 	5047720 	54042316 	50246894 	11583862
2014/02/17 18:00 	24621037 	198232712 	7117206 	122556790 	61424297 	15990510
2014/02/18 18:00 	20129201 	132081288 	4587393 	51311001 	46895240 	10127257
2014/02/19 18:00 	22707396 	143610026 	9091377 	83008785 	56022356 	34296115
2014/02/20 18:00 	20456321 	125261652 	7429900 	103688362 	51682303 	12991146
2014/02/21 18:00 	5935039 	59518428 	1646839 	24390723 	10140125 	2689842
2014/02/22 18:00 	5361813 	70671154 	1192600 	11586354 	9247914 	1661064
2014/02/23 18:00 	23562164 	170916147 	5450840 	58760055 	55923199 	13280631
2014/02/24 18:00 	21932798 	118039210 	6250725 	77734536 	51158766 	14336955
2014/02/25 18:00 	22346193 	105975500 	5940563 	112506947 	61898683 	13265885
2014/02/26 18:00 	23960919 	143776016 	6353790 	62038390 	63221144 	17430834
2014/02/27 18:00 	20406925 	133386273 	7638179 	99997900 	50230135 	18897954
2014/02/28 18:00 	4802684 	67188838 	1164342 	13214310 	7741439 	1691272
2014/03/01 18:00 	4197081 	49796710 	1202961 	15384507 	6816255 	1672259
2014/03/02 18:00 	20641106 	133739895 	5368960 	54994158 	52261034 	13381870
2014/03/03 18:00 	21161979 	127076010 	7390886 	87912925 	51003391 	19167265
2014/03/04 18:00 	21032810 	121904195 	6128239 	88190497 	50068274 	13696785
2014/03/05 18:00 	21697092 	133223116 	6027786 	100145970 	53964424 	13753855
2014/03/06 18:00 	17968082 	205740032 	7500431 	87518207 	42901128 	17736704
2014/03/07 18:00 	4924638 	169390864 	1676952 	29115732 	9109127 	2156441
2014/03/08 18:00 	4721374 	71803357 	1368905 	35022779 	8365806 	2004036
2014/03/09 19:00 	26468593 	163352097 	5563087 	54277153 	72356624 	13926945
2014/03/10 19:00 	26849462 	170194977 	8161370 	80595762 	74438792 	24531421
2014/03/11 19:00 	24949666 	165089860 	6877282 	108217753 	59746884 	14419148
2014/03/12 19:00 	21134664 	124711218 	5414863 	76155732 	52314179 	13262813
2014/03/13 19:00 	21389701 	125088971 	8798478 	102294323 	56887193 	23197695
2014/03/14 19:00 	4370461 	45135906 	1103387 	15615828 	8130627 	1588598
2014/03/15 19:00 	4431146 	44846421 	1159381 	16987817 	8539272 	1693968
2014/03/16 19:00 	22982914 	225241360 	5472470 	108431154 	56925968 	10474973
2014/03/17 19:00 	23246213 	136114790 	5360112 	106011067 	56153360 	11442414
2014/03/18 19:00 	21166660 	123767500 	5070480 	101264656 	47783150 	9849650
2014/03/19 19:00 	20154602 	129021542 	5085728 	92401868 	48675259 	10419268
2014/03/20 19:00 	24791807 	133021217 	9719593 	108418695 	64179473 	23401334
2014/03/21 19:00 	5056302 	48986077 	1446011 	17165004 	8895317 	2420974
2014/03/22 19:00 	4948829 	51379541 	1250926 	16735675 	9423427 	1817224
2014/03/23 19:00 	21306206 	104395980 	5713516 	67918710 	50411451 	13394158
2014/03/24 19:00 	20454605 	139688788 	5948676 	77792221 	50885801 	13785735
2014/03/25 19:00 	24397145 	147991961 	8145476 	75165012 	57894945 	22020334
2014/03/26 19:00 	22325164 	178096742 	6176584 	68814301 	54985590 	15911935
2014/03/27 19:00 	21187453 	157997464 	7985834 	121142715 	49903547 	14429217
2014/03/28 19:00 	5237868 	111209198 	1305976 	16322184 	8251733 	1856921
2014/03/29 19:00 	6381315 	77715421 	1470872 	18481834 	11458628 	2133435
2014/03/30 19:00 	21104041 	135553876 	7252535 	92971655 	47673241 	16876646
2014/03/31 19:00 	26277344 	206039005 	8242313 	97202755 	66108006 	18075954
2014/04/01 19:00 	23619471 	129729979 	9341121 	101767133 	53876565 	16622454
2014/04/02 19:00 	20496832 	113716394 	4961034 	53794065 	49731037 	9881941
2014/04/03 19:00 	19316871 	120540432 	9529905 	88011024 	47728741 	24925831
2014/04/04 19:00 	6012932 	105737249 	1229722 	19400840 	9105271 	1739980
2014/04/05 19:00 	4391245 	61450273 	1283755 	19100467 	7484313 	1902625
2014/04/06 19:00 	24941808 	136981128 	14639900 	78041667 	56239649 	37570184
2014/04/07 19:00 	26109751 	157385522 	16581166 	130273040 	57543543 	38439081
2014/04/08 19:00 	22816269 	121287236 	7492706 	61482222 	49458072 	14086485
2014/04/09 19:00 	21856490 	149287457 	5993338 	67189145 	51438522 	13946470
2014/04/10 19:00 	18654409 	129534634 	8163979 	88846642 	44559564 	24756735
2014/04/11 19:00 	4339527 	63515681 	1205025 	13386956 	7127039 	1793706
2014/04/12 19:00 	4519318 	98721587 	1267152 	7703415 	7472434 	1899178
2014/04/13 19:00 	22643799 	172711252 	5707852 	58953624 	56101443 	14302139
2014/04/14 19:00 	21554819 	156293596 	7080284 	69631623 	52265130 	18731519
2014/04/15 19:00 	21025597 	131735107 	5146850 	101484065 	48269004 	10589081
2014/04/16 19:00 	18598792 	127912344 	4952313 	57265287 	44163686 	11802452
2014/04/17 19:00 	23861179 	197068799 	8323359 	101462322 	55045187 	18595669
2014/04/18 19:00 	4695899 	90789716 	1429506 	26889352 	9272797 	1810192
2014/04/19 19:00 	4192001 	77284488 	1176480 	13888340 	8353893 	1726395
2014/04/20 19:00 	22311468 	137907131 	6716012 	110260633 	51388756 	15409049
2014/04/21 19:00 	23540474 	169241701 	6115843 	114523886 	54379212 	14833970
2014/04/22 19:00 	21428980 	202359876 	5789719 	41889347 	46519739 	13892744
2014/04/23 19:00 	20778873 	132379886 	4977430 	49557606 	48200703 	12078557
2014/04/24 19:00 	17260434 	148100778 	4920799 	94413482 	41248869 	10272870
2014/04/25 19:00 	4391575 	81020517 	1322333 	16098337 	7539643 	1861494
2014/04/26 19:00 	4725922 	114029123 	1266389 	18129987 	7780898 	1876342
2014/04/27 19:00 	21394660 	148166007 	5101890 	50758075 	48728677 	11860684
2014/04/28 19:00 	21206955 	135337608 	5305069 	59896763 	49262864 	11521979
2014/04/29 19:00 	20115167 	109794917 	5132281 	70128605 	46568516 	10692983
2014/04/30 19:00 	18645178 	114715715 	5425785 	87048430 	44175837 	12679099
2014/05/01 19:00 	17852199 	118198169 	5219277 	59816174 	41832311 	10005981
2014/05/02 19:00 	5095171 	114508492 	1168850 	14673714 	8547225 	1716428
2014/05/03 19:00 	8967385 	107444257 	1470502 	17606860 	27964996 	2477908
2014/05/04 19:00 	19671868 	105369326 	4802120 	68616669 	47165405 	10576314
2014/05/05 19:00 	23078341 	127182710 	5339645 	62754132 	55965900 	12335478
2014/05/06 19:00 	22050516 	118321561 	5495936 	54019310 	54861686 	12390263
2014/05/07 19:00 	24238440 	192270608 	4708172 	40050618 	61791162 	9865113
2014/05/08 19:00 	25285070 	204924552 	5951962 	107319090 	55803015 	11906354
2014/05/09 19:00 	5249875 	117995656 	1555590 	17697348 	8855517 	2296900
2014/05/10 19:00 	4483230 	107852697 	1182444 	17502753 	7537356 	1776570
2014/05/11 19:00 	24883190 	233424622 	10314583 	133189802 	60537172 	16408029
2014/05/12 19:00 	26412433 	146406741 	6915375 	105788927 	62955997 	17619045
2014/05/13 19:00 	30043582 	204823141 	6386340 	72811758 	67944208 	15281219
2014/05/14 19:00 	21192890 	141923669 	7298585 	105049907 	46609782 	13640942
2014/05/15 19:00 	25402834 	188840447 	5375961 	69990536 	54669345 	12269055
2014/05/16 19:00 	7975365 	221279504 	1201164 	6796901 	8896921 	2179003
2014/05/17 19:00 	4334095 	82445891 	1095103 	11068450 	6760754 	1676048
2014/05/18 19:00 	20733607 	111861486 	6989611 	105911022 	51565635 	18724931
2014/05/19 19:00 	26787111 	159083997 	6669247 	72747281 	62527692 	16407551
2014/05/20 19:00 	22845825 	172221064 	6144578 	76419242 	50157055 	13704328
2014/05/21 19:00 	24705232 	242450124 	6167029 	63530017 	58787259 	17407145
2014/05/22 19:00 	22679117 	148929843 	10556924 	132594312 	56303035 	27151837
2014/05/23 19:00 	4750460 	79700001 	1305047 	11253076 	8549136 	1964952
2014/05/24 19:00 	4501367 	85058594 	1247100 	10107289 	7992353 	1836543
2014/05/25 19:00 	7901425 	87912823 	1381831 	5229533 	17440323 	2025983
2014/05/26 19:00 	23133276 	120174250 	7130474 	84245946 	56165204 	16666316
2014/05/27 19:00 	33051899 	301363165 	7626656 	73936963 	76897723 	18102032
2014/05/28 19:00 	29258801 	124442043 	5714751 	55400617 	63664469 	13443446
2014/05/29 19:00 	21144339 	150604799 	5342750 	56906853 	45355895 	11561574
2014/05/30 19:00 	5295264 	95100552 	1328661 	10372777 	8820394 	1953143
2014/05/31 19:00 	5622531 	96188210 	1322794 	13483622 	8793019 	2001714
2014/06/01 19:00 	21563986 	110837213 	5526148 	57561906 	50703667 	12865023
2014/06/02 19:00 	26604405 	149144541 	6680559 	64230673 	64878625 	17373217
2014/06/03 19:00 	25579297 	146640008 	5693459 	63567086 	62899370 	13254655
2014/06/04 19:00 	22035959 	135871692 	5065539 	42591675 	50776746 	11121731
